round,parameter,kind,numel,mean_abs,sigma_mean,sigma_min,sigma_max,snr_mean
81,conv1.mu_kernel,bbb,2400,0.14167800545692444,0.048590462654829025,0.032501187175512314,0.0655786395072937,2.9492459297180176
81,conv1.mu_bias,bbb,32,0.8011147975921631,0.04990076273679733,0.040563568472862244,0.06959433108568192,16.230758666992188
81,conv2.mu_kernel,bbb,51200,0.08323290199041367,0.048824429512023926,0.03242265433073044,0.07458502799272537,1.721247911453247
81,conv2.mu_bias,bbb,64,0.3146078586578369,0.049432992935180664,0.03656860440969467,0.06036067381501198,6.421794414520264
81,fc1.mu_weight,bbb,819200,0.0795387476682663,0.0488150455057621,0.02952762506902218,0.07759173214435577,1.644960641860962
81,fc1.mu_bias,bbb,512,0.19660112261772156,0.04876767098903656,0.034524425864219666,0.06342291086912155,4.0502119064331055
81,fc2.mu_weight,bbb,5120,0.07007559388875961,0.04870816692709923,0.03461756929755211,0.07154235243797302,1.4526984691619873
81,fc2.mu_bias,bbb,10,0.20249855518341064,0.04858529940247536,0.042907994240522385,0.05356116592884064,4.1597723960876465
82,conv1.mu_kernel,bbb,2400,0.1423024982213974,0.04858949035406113,0.032500650733709335,0.06557566672563553,2.9622669219970703
82,conv1.mu_bias,bbb,32,0.8053907155990601,0.04989560693502426,0.04056360945105553,0.06959208101034164,16.318878173828125
82,conv2.mu_kernel,bbb,51200,0.08325017988681793,0.04882439225912094,0.032422639429569244,0.07458502799272537,1.7215981483459473
82,conv2.mu_bias,bbb,64,0.3154732882976532,0.04943157359957695,0.036568671464920044,0.06036069244146347,6.439678192138672
82,fc1.mu_weight,bbb,819200,0.07953699678182602,0.0488150417804718,0.02952762506902218,0.07759173214435577,1.644924521446228
82,fc1.mu_bias,bbb,512,0.19712023437023163,0.048767607659101486,0.03452432528138161,0.06342286616563797,4.060748100280762
82,fc2.mu_weight,bbb,5120,0.07001571357250214,0.048707783222198486,0.03461744636297226,0.07154107093811035,1.4513931274414062
82,fc2.mu_bias,bbb,10,0.20620746910572052,0.048580367118120193,0.042905841022729874,0.05355672538280487,4.238255977630615
83,conv1.mu_kernel,bbb,2400,0.14295704662799835,0.04858843982219696,0.032501138746738434,0.06557714939117432,2.9758830070495605
83,conv1.mu_bias,bbb,32,0.8104647994041443,0.04989027604460716,0.04056331515312195,0.06959076970815659,16.42409896850586
83,conv2.mu_kernel,bbb,51200,0.08326980471611023,0.04882435500621796,0.03242262080311775,0.07458502799272537,1.7220076322555542
83,conv2.mu_bias,bbb,64,0.31603768467903137,0.04943033307790756,0.036568623036146164,0.06036015972495079,6.451415061950684
83,fc1.mu_weight,bbb,819200,0.079535111784935,0.0488150417804718,0.02952762506902218,0.07759173214435577,1.644885540008545
83,fc1.mu_bias,bbb,512,0.19764019548892975,0.04876754805445671,0.034524355083703995,0.0634225457906723,4.071433067321777
83,fc2.mu_weight,bbb,5120,0.06996703147888184,0.04870738834142685,0.03461581468582153,0.07154211401939392,1.4503880739212036
83,fc2.mu_bias,bbb,10,0.2075001299381256,0.04857528954744339,0.0429006926715374,0.05355462431907654,4.267241477966309
84,conv1.mu_kernel,bbb,2400,0.14360405504703522,0.04858750104904175,0.03250131756067276,0.06557512283325195,2.9894392490386963
84,conv1.mu_bias,bbb,32,0.8150771856307983,0.049886107444763184,0.04056311398744583,0.06958682090044022,16.516571044921875
