schema_version,run_id,round,method,physical_client_id,virtual_client_id,num_examples,num_batches,local_epochs,batch_size,train_loss,task_loss,prior_loss,regularization_loss,accuracy_local_train_estimate,loss_local_train_estimate,update_l2_norm,update_linf_norm,update_cosine_to_global,drift_from_global_before_l2,drift_from_global_after_l2,label_entropy,kl_to_global_label_distribution,vi_elbo_loss,vi_kl_loss,vi_likelihood_loss,vi_complexity_cost,vi_loc_l2,vi_scale_mean,vi_scale_p50,vi_scale_p90,vi_scale_max,vi_snr_raw_mean,vi_snr_raw_p50,vi_snr_raw_p90,ola_task_loss,ola_prior_loss,ola_fisher_mean,ola_fisher_p50,ola_fisher_p90,ola_fisher_max,ola_precision_mean,ola_precision_p50,ola_precision_p90,ola_sigma_mean,ola_sigma_p50,ola_sigma_p90,ola_snr_raw_mean,ola_snr_raw_p50,ola_snr_raw_p90,channel_snr_db,pathloss_db,rate_mbps,delay_ms,energy_j,ota_contribution_norm,digital_payload_bytes,communication_success,num_examples_seen,num_examples_train
bayesfl_observability_v1,debug_fedavg_mnist_cf005,2,fedavg,277,22,896,28,1,32,0.6796163586633546,0.6796163586633546,0.0,0.0,0.8024553571428571,0.6796163586633546,0.7556807062762032,0.08310531079769135,0.9939786865103373,0.7556807062762032,,1.0079628307563315,1.347582353346925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896.0,896
bayesfl_observability_v1,debug_fedavg_mnist_cf005,2,fedavg,278,22,61,2,1,32,1.4188637645518194,1.4188637645518194,0.0,0.0,0.5409836065573771,1.4188637645518194,0.23729953727809422,0.04075174033641815,0.999394413140618,0.23729953727809422,,0.3945326819623348,1.9802377464173406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,61
bayesfl_observability_v1,debug_fedavg_mnist_cf005,2,fedavg,73,5,163,6,1,32,1.266423976128818,1.266423976128818,0.0,0.0,0.6503067484662577,1.266423976128818,0.4427594774036057,0.0801076591014862,0.9978944009237555,0.4427594774036057,,0.5806591790624623,1.7081390410628632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.0,163
bayesfl_observability_v1,debug_fedavg_mnist_cf005,2,fedavg,158,12,100,4,1,32,1.5304216527938843,1.5304216527938843,0.0,0.0,0.54,1.5304216527938843,0.3232415542941213,0.04274802654981613,0.9988754996699942,0.3232415542941213,,0.9581847713458628,1.3628065184402316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100
bayesfl_observability_v1,debug_fedavg_mnist_cf005,2,fedavg,195,15,25,1,1,32,2.054210901260376,2.054210901260376,0.0,0.0,0.24,2.054210901260376,0.08971496516766271,0.009160017594695091,0.999913219843644,0.08971496516766271,,1.3119690925702856,0.9861324927876863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,25
bayesfl_observability_v1,debug_fedavg_mnist_cf005,2,fedavg,11,0,2,1,1,32,2.5582284927368164,2.5582284927368164,0.0,0.0,0.0,2.5582284927368164,0.22456294453136277,0.02104741707444191,0.9994563353831394,0.22456294453136277,,0.6931471805599453,1.5913406603425941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2
bayesfl_observability_v1,debug_fedavg_mnist_cf005,2,fedavg,264,21,197,7,1,32,1.236657796172321,1.236657796172321,0.0,0.0,0.6345177664974619,1.236657796172321,0.46616300417626955,0.062199756503105164,0.9976690374057691,0.46616300417626955,,0.6375936626726958,1.698074512420698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.0,197
bayesfl_observability_v1,debug_fedavg_mnist_cf005,2,fedavg,267,21,306,10,1,32,0.8662902631011664,0.8662902631011664,0.0,0.0,0.7320261437908496,0.8662902631011664,0.49736323957662215,0.06203819811344147,0.9973529299936267,0.49736323957662215,,0.49629795412582844,1.8891532045272958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.0,306
bayesfl_observability_v1,debug_fedavg_mnist_cf005,2,fedavg,30,2,2,1,1,32,2.6706390380859375,2.6706390380859375,0.0,0.0,0.0,2.6706390380859375,0.18286174947521885,0.016194943338632584,0.9996394414628221,0.18286174947521885,,0.6931471805599453,1.6262933525338354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2
bayesfl_observability_v1,debug_fedavg_mnist_cf005,2,fedavg,173,13,119,4,1,32,1.92896664643488,1.92896664643488,0.0,0.0,0.4117647058823529,1.92896664643488,0.39998409486486564,0.046656012535095215,0.9982778089319814,0.39998409486486564,,0.7679964346078391,1.5533998077393687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.0,119
