round,num_examples,train_loss,task_loss,train_accuracy,complexity_per_weight,resolved_kl_weight,effective_kl_weight,variance_floor_fraction,bayesian_dimension,lr,local_steps,rho_grad_l2_mean,rho_grad_nonzero_fraction,rho_update_l2,update_l2,update_rms,update_max_abs,posterior_mu_abs_mean,posterior_sigma_mean,posterior_sigma_min,posterior_sigma_max,posterior_snr_mean,client_id,server_round
2,1021.0,1.14393483295847,1.01458836647369,0.7091087169441724,2.530681090534038,1.1743788123272196e-06,4.801925380000365e-07,0.0,851514.0,0.009999846564125248,80.0,0.08387348404381775,1.0,0.008901582058976655,1.3955659992844835,0.0010681245976481752,0.1473720632493496,0.07972489956640251,0.04881526689910486,0.030997552440281205,0.07758845842173236,1.6487336028784132,5.0,2.0
2,5482.0,1.56146909271179,1.4322606087513798,0.40516234950747904,2.530690186251563,1.1743788123272196e-06,2.5782717858141037e-06,0.0,851514.0,0.009999846564125248,430.0,0.059994846982031884,1.0,0.018708119269867665,2.6026531111853775,0.001991993075661027,0.21923772990703583,0.0797515276411757,0.048815256599658574,0.030997552440281205,0.07758760406948499,1.6492891061948627,12.0,2.0
2,337.0,2.045012850223734,1.9311677884631058,0.39465875370919884,2.5306217513746105,1.1743788123272196e-06,1.5849645965329316e-07,0.0,851514.0,0.009999846564125248,30.0,0.22252628127112709,1.0,0.011736010194087213,2.6875959263647538,0.0020570057732569075,0.36251378059387207,0.07974395011786434,0.048815266682391986,0.030997552440281205,0.07758820923472563,1.6491341919374864,6.0,2.0
2,1988.0,1.5060986755119723,1.380173937079892,0.3813380281690141,2.5306590801061404,1.1743788123272196e-06,9.349880171832249e-07,0.0,851514.0,0.009999846564125248,160.0,0.09198441666927473,1.0,0.015272316658316156,2.7348675793868944,0.002093186086757183,0.3261767774820328,0.07974725340770289,0.04881526213830392,0.030997552440281205,0.07758876100698953,1.649204658050905,2.0,2.0
2,3511.0,1.1499931067304712,1.0229098752247103,0.6590430076901168,2.5306665570719584,1.1743788123272196e-06,1.6512791389991462e-06,0.0,851514.0,0.009999846564125248,280.0,0.06674978976312823,1.0,0.016834448040186006,2.709803473213531,0.0020740027673473087,0.2676183581352234,0.07974607905191766,0.04881526213268669,0.030997552440281205,0.07758840502445183,1.649177160829469,10.0,2.0
2,473.0,0.8288471136486304,0.7090017262460313,0.8868921775898521,2.5306841549287507,1.1743788123272196e-06,2.2245942259942924e-07,0.0,851514.0,0.009999846564125248,40.0,0.078714569421824,1.0,0.006699309170351378,1.372568251862942,0.0010505228076045352,0.2166619785130024,0.07972519436584392,0.048815268579665796,0.030997552440281205,0.07758870760950874,1.6487424917798117,3.0,2.0
2,2909.0,0.7419054400648354,0.613720952732,0.8384324510140941,2.5306860167021172,1.1743788123272196e-06,1.3681489647816907e-06,0.0,851514.0,0.009999846564125248,230.0,0.05180855097223116,1.0,0.011785887162370298,1.8022108373786176,0.0013793584298694372,0.24610558152198792,0.07973558652119886,0.048815265829165094,0.030997552440281205,0.07758870760950874,1.6489526852286471,16.0,2.0
2,5362.0,1.1297857022716766,1.000398428586382,0.6024058187243566,2.530653149230998,1.1743788123272196e-06,2.521833877332219e-06,0.0,851514.0,0.009999846564125248,420.0,0.058579123829916716,1.0,0.018389188091835016,2.4223590423539356,0.0018540013720599996,0.2449032887816429,0.07974825689952703,0.04881526016137275,0.030997552440281205,0.07758826263187657,1.6492157213813923,7.0,2.0
2,1781.0,1.0774561307726116,0.9485251424789161,0.7834924199887704,2.5306959658242345,1.1743788123272196e-06,8.376326250519735e-07,0.0,851514.0,0.009999846564125248,140.0,0.061034238359523436,1.0,0.010661610385543958,1.7902616689133204,0.0013702128926710749,0.24106331914663315,0.07973081111826565,0.048815265696415436,0.030997552440281205,0.07758707010392474,1.6488527684980006,4.0,2.0
2,4106.0,0.2809063700201508,0.15480417205541783,0.9767900633219678,2.5306648341730846,1.1743788123272196e-06,1.9311171018884915e-06,0.0,851514.0,0.009999846564125248,330.0,0.016275345277513537,1.0,0.007686918283890801,2.0622920990019953,0.00157841687144062,0.2997426316142082,0.07973215313343707,0.04881526766594952,0.030997552440281205,0.07758840502445183,1.6488894425373406,8.0,2.0
2,1469.0,1.290076478425137,1.1660084703367855,0.5678012253233492,2.5306808226288706,1.1743788123272196e-06,6.908940629990731e-07,0.0,851514.0,0.009999846564125248,120.0,0.08860237133689115,1.0,0.013191358764654122,1.9682183572939502,0.0015064156349797993,0.2256385162472725,0.07973345394946463,0.04881526587483097,0.030997552440281205,0.07758870760950874,1.6489148020230997,19.0,2.0
