run_id,round,logical_round,physical_round,phase,client_id,num_examples,distance_m,train_loss,phase1_loss,phase2_loss,local_steps,local_precision_mean,local_precision_min,local_precision_max,local_precision_delta_l2,local_precision_delta_max_abs,local_precision_changed_fraction,local_precision_gradient_l2_mean,local_precision_gradient_max_abs,local_nu_l2,local_implied_mean_l2
fig5_power_33dbm_proposed_rep00_seed2025,203,203,405,precision,0,12,15.515846861202073,0.00022362074129584174,0.00022362074129584174,0.0,6,400.0000124467685,399.9999693106592,400.0009770261506,7.620492818001105e-06,2.530561175717594e-06,0.9491707682609558,1.4339647205629724e-05,2.3993107292365776e-05,0.0,0.0
fig5_power_33dbm_proposed_rep00_seed2025,203,203,405,precision,1,14,115.21714582567645,0.0001993242891568939,0.0001993242891568939,0.0,6,400.0000124467974,399.9999693552692,400.0009769597464,4.592936765507278e-06,8.931722845773038e-07,0.9497000575065613,1.3084195372775457e-05,1.0312538595605957e-05,0.0,0.0
fig5_power_33dbm_proposed_rep00_seed2025,203,203,405,precision,2,8,145.46847123647032,9.290377298990884e-06,9.290377298990884e-06,0.0,3,400.0000124464567,399.99996935756997,400.000977015957,5.095490666547895e-08,9.609152584744152e-09,0.8900330662727356,2.79585335618584e-07,9.577387978218125e-08,0.0,0.0
fig5_power_33dbm_proposed_rep00_seed2025,203,203,405,precision,3,12,71.99775189006189,0.023835001798665368,0.023835001798665368,0.0,6,400.0000124714219,399.99996970205666,400.0009774940227,0.00036092871240078756,9.268147852026232e-05,0.9656273126602173,0.0008471597755983084,0.000855189484227724,0.0,0.0
fig5_power_33dbm_proposed_rep00_seed2025,203,203,405,precision,4,9,138.3951326144958,0.0360484864976671,0.0360484864976671,0.0,3,400.0000124602749,399.99996963611835,400.0009768971475,0.00020840446203267967,7.383615155731604e-05,0.9365476369857788,0.0007888975614046154,0.0007401036989792296,0.0,0.0
fig5_power_33dbm_proposed_rep00_seed2025,203,203,405,precision,5,10,168.85680085025976,0.001325365702311198,0.001325365702311198,0.0,3,400.00001244748495,399.9999693675261,400.0009770164844,1.870906538499727e-05,6.271352276598918e-06,0.9170114994049072,6.712943896931721e-05,6.491822581576872e-05,0.0,0.0
fig5_power_33dbm_proposed_rep00_seed2025,203,203,405,precision,6,7,182.40375510728745,0.012150823502313522,0.012150823502313522,0.0,3,400.0000124531611,399.999970048101,400.00097701620564,8.891661838010615e-05,1.974756304434777e-05,0.950325608253479,0.000324801860805248,0.00019659595022058964,0.0,0.0
fig5_power_33dbm_proposed_rep00_seed2025,203,203,405,precision,7,9,105.40127870194036,0.0021148964210792823,0.0021148964210792823,0.0,3,400.0000124475816,399.99996935489287,400.0009770164742,1.6185085276561744e-05,4.810724647086317e-06,0.9586821794509888,7.645262871131582e-05,4.3452893864981514e-05,0.0,0.0
fig5_power_33dbm_proposed_rep00_seed2025,203,203,405,precision,8,9,57.04335895729468,5.175272623697917e-05,5.175272623697917e-05,0.0,3,400.00001244649474,399.9999693595346,400.00097703197326,5.931759962218192e-07,1.4142364079816616e-07,0.8755974769592285,2.540586584105948e-06,1.41030922730622e-06,0.0,0.0
fig5_power_33dbm_proposed_rep00_seed2025,203,203,405,precision,9,15,21.428583832024906,0.005695479710896809,0.005695479710896809,0.0,6,400.00001246036624,399.99996939495077,400.00096963028057,0.0001656508116795657,3.595225888375353e-05,0.9375742077827454,0.0004011729669559302,0.00035851173928373297,0.0,0.0
