run_id,experiment,condition,method,realization,round,logical_round,physical_round,phase,bin,lower,upper,count,confidence,accuracy
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,8,8,16,natural_mean,7,0.7000000000000001,0.8,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,8,8,16,natural_mean,8,0.8,0.9,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,8,8,16,natural_mean,9,0.9,1.0,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,9,9,18,natural_mean,0,0.0,0.1,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,9,9,18,natural_mean,1,0.1,0.2,7731,0.16889012441073536,0.13284180571724227
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,9,9,18,natural_mean,2,0.2,0.30000000000000004,2264,0.2206016121603723,0.142226148409894
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,9,9,18,natural_mean,3,0.30000000000000004,0.4,5,0.32151821121573454,0.2
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,9,9,18,natural_mean,4,0.4,0.5,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,9,9,18,natural_mean,5,0.5,0.6000000000000001,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,9,9,18,natural_mean,6,0.6000000000000001,0.7000000000000001,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,9,9,18,natural_mean,7,0.7000000000000001,0.8,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,9,9,18,natural_mean,8,0.8,0.9,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,9,9,18,natural_mean,9,0.9,1.0,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,10,10,20,natural_mean,0,0.0,0.1,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,10,10,20,natural_mean,1,0.1,0.2,43,0.19180230872792217,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,10,10,20,natural_mean,2,0.2,0.30000000000000004,3457,0.26444088053127296,0.052068267283772056
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,10,10,20,natural_mean,3,0.30000000000000004,0.4,5066,0.3434582689353086,0.09692064745361231
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,10,10,20,natural_mean,4,0.4,0.5,1342,0.4337188789779223,0.19597615499254845
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,10,10,20,natural_mean,5,0.5,0.6000000000000001,92,0.5242591644434825,0.15217391304347827
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,10,10,20,natural_mean,6,0.6000000000000001,0.7000000000000001,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,10,10,20,natural_mean,7,0.7000000000000001,0.8,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,10,10,20,natural_mean,8,0.8,0.9,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,10,10,20,natural_mean,9,0.9,1.0,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,11,11,22,natural_mean,0,0.0,0.1,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,11,11,22,natural_mean,1,0.1,0.2,5600,0.17551656114977335,0.15607142857142858
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,11,11,22,natural_mean,2,0.2,0.30000000000000004,4347,0.22929492413583943,0.17299286864504257
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,11,11,22,natural_mean,3,0.30000000000000004,0.4,53,0.31168073739434754,0.16981132075471697
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,11,11,22,natural_mean,4,0.4,0.5,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,11,11,22,natural_mean,5,0.5,0.6000000000000001,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,11,11,22,natural_mean,6,0.6000000000000001,0.7000000000000001,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,11,11,22,natural_mean,7,0.7000000000000001,0.8,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,11,11,22,natural_mean,8,0.8,0.9,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,11,11,22,natural_mean,9,0.9,1.0,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,12,12,24,natural_mean,0,0.0,0.1,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,12,12,24,natural_mean,1,0.1,0.2,381,0.1869721647767531,0.010498687664041995
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,12,12,24,natural_mean,2,0.2,0.30000000000000004,6128,0.2577364176719842,0.10215404699738903
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,12,12,24,natural_mean,3,0.30000000000000004,0.4,3375,0.33330238570497817,0.22814814814814816
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,12,12,24,natural_mean,4,0.4,0.5,116,0.4181124639087196,0.4396551724137931
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,12,12,24,natural_mean,5,0.5,0.6000000000000001,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,12,12,24,natural_mean,6,0.6000000000000001,0.7000000000000001,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,12,12,24,natural_mean,7,0.7000000000000001,0.8,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,12,12,24,natural_mean,8,0.8,0.9,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,12,12,24,natural_mean,9,0.9,1.0,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,13,13,26,natural_mean,0,0.0,0.1,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,13,13,26,natural_mean,1,0.1,0.2,4478,0.1765228019109008,0.20969182670835193
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,13,13,26,natural_mean,2,0.2,0.30000000000000004,5373,0.23196917997358812,0.27396240461567095
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,13,13,26,natural_mean,3,0.30000000000000004,0.4,148,0.31968252174178696,0.7027027027027027
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,13,13,26,natural_mean,4,0.4,0.5,1,0.4117836058139801,1.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,13,13,26,natural_mean,5,0.5,0.6000000000000001,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,13,13,26,natural_mean,6,0.6000000000000001,0.7000000000000001,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,13,13,26,natural_mean,7,0.7000000000000001,0.8,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,13,13,26,natural_mean,8,0.8,0.9,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,13,13,26,natural_mean,9,0.9,1.0,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,14,14,28,natural_mean,0,0.0,0.1,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,14,14,28,natural_mean,1,0.1,0.2,5049,0.17889834447126746,0.19667260843731432
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,14,14,28,natural_mean,2,0.2,0.30000000000000004,4765,0.23061435360103796,0.2111227701993704
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,14,14,28,natural_mean,3,0.30000000000000004,0.4,186,0.3217995580921691,0.6075268817204301
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,14,14,28,natural_mean,4,0.4,0.5,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,14,14,28,natural_mean,5,0.5,0.6000000000000001,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,14,14,28,natural_mean,6,0.6000000000000001,0.7000000000000001,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,14,14,28,natural_mean,7,0.7000000000000001,0.8,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,14,14,28,natural_mean,8,0.8,0.9,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,14,14,28,natural_mean,9,0.9,1.0,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,15,15,30,natural_mean,0,0.0,0.1,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,15,15,30,natural_mean,1,0.1,0.2,5326,0.17663455079228768,0.245399924896733
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,15,15,30,natural_mean,2,0.2,0.30000000000000004,4500,0.2298112250335825,0.31533333333333335
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,15,15,30,natural_mean,3,0.30000000000000004,0.4,174,0.3181709135026168,0.16091954022988506
