round,Nt,accuracy,loss,distortion,rho_ref,m0
162.0,48762.0,0.1,2.3186967376708982,0.0017285616885950456,2.7778204811279103e-09,20.0
163.0,49063.0,0.0999,2.317939099884033,0.001412692489710846,2.7541346442945467e-09,20.0
164.0,49364.0,0.0998,2.317595227432251,0.0015198021101866695,2.7263646577859934e-09,20.0
165.0,49665.0,0.1,2.3164791206359863,0.0016636327338558988,2.760673031168609e-09,20.0
166.0,49966.0,0.0999,2.3155611568450927,0.0017154470777513125,2.7071079876061795e-09,20.0
167.0,50267.0,0.0999,2.3167321716308593,0.0014525735688927848,2.7231631449500865e-09,20.0
168.0,50568.0,0.0998,2.317134688568115,0.001639529459925855,2.9167731800876974e-09,20.0
169.0,50869.0,0.0998,2.316014903259277,0.0015466735655730178,3.0394982973722593e-09,20.0
170.0,51170.0,0.0997,2.316512092590332,0.0016975972575545596,2.91658794046305e-09,20.0
171.0,51471.0,0.0997,2.3154035888671873,0.0017819265952020004,3.0973861700564496e-09,20.0
172.0,51772.0,0.1,2.3153699531555176,0.0016843617413408339,2.9372685891513808e-09,20.0
173.0,52073.0,0.1,2.315390184020996,0.0014453550040525239,2.953293779548744e-09,20.0
174.0,52374.0,0.1,2.3145041076660156,0.001484584693169812,3.018610029972123e-09,20.0
175.0,52675.0,0.1,2.313913670349121,0.0016231158826099951,2.9137947524203776e-09,20.0
176.0,52976.0,0.1,2.3131179927825927,0.0016657188472457164,2.8478783925443757e-09,20.0
177.0,53277.0,0.1,2.3130906021118163,0.0016098415573707237,2.865101926231191e-09,20.0
178.0,53578.0,0.1002,2.3127368286132812,0.0015359849090680745,2.9523290853809455e-09,20.0
179.0,53879.0,0.1004,2.31257918548584,0.0014065189447948596,3.0183048204311e-09,20.0
180.0,54180.0,0.1005,2.3126350631713866,0.0015894899628420374,3.0795826351507004e-09,20.0
181.0,54481.0,0.1004,2.3126680381774904,0.0015791322925016087,3.1778143170211795e-09,20.0
182.0,54782.0,0.1005,2.3120992668151854,0.0015732214123354749,3.2758592411008424e-09,20.0
183.0,55083.0,0.1009,2.3100070816040037,0.002104400093551112,3.3925504213248994e-09,20.0
184.0,55384.0,0.1009,2.3094373336791993,0.0015222864086775658,3.1445118063461856e-09,20.0
185.0,55685.0,0.1012,2.3091561447143554,0.0016794654658470352,3.0748559082996017e-09,20.0
186.0,55986.0,0.1015,2.3086990219116212,0.0015993064645386148,3.0670103809050276e-09,20.0
187.0,56287.0,0.1019,2.306651965332031,0.0016960225910877217,3.0865137333144335e-09,20.0
188.0,56588.0,0.1024,2.3066341079711914,0.0016327380082242614,2.837341596232438e-09,20.0
189.0,56889.0,0.1025,2.306425551223755,0.0017127089387100102,2.908861995931789e-09,20.0
190.0,57190.0,0.1024,2.3065910163879395,0.001690201578967628,2.980540965660446e-09,20.0
191.0,57491.0,0.1028,2.3054426177978518,0.0016731807522917654,3.1146997315823244e-09,20.0
192.0,57792.0,0.1028,2.3057084976196287,0.0015504037472328894,3.064391588218202e-09,20.0
193.0,58093.0,0.1032,2.3054985710144043,0.0014579550283890077,3.2083495620761837e-09,20.0
194.0,58394.0,0.1035,2.3055584159851072,0.0015535733877637197,3.189859000255034e-09,20.0
195.0,58695.0,0.1038,2.304522567367554,0.0019112207713159854,3.2914883254437618e-09,20.0
196.0,58996.0,0.1043,2.304270007324219,0.0016644228841998924,3.251737571211206e-09,20.0
197.0,59297.0,0.1054,2.301963040161133,0.0018563903831120808,3.39714054303756e-09,20.0
198.0,59598.0,0.1064,2.301939354324341,0.0017075929520472795,3.058419580572119e-09,20.0
199.0,59899.0,0.1064,2.299945307159424,0.0019030166214084058,3.290074286395009e-09,20.0
200.0,60200.0,0.1066,2.300343830871582,0.0015735664099835538,3.1170935282843805e-09,20.0
201.0,60501.0,0.1075,2.29918967590332,0.0019051459490449579,3.3579781457892287e-09,20.0
202.0,60802.0,0.1074,2.2990321144104002,0.0016480453568786242,3.288411034780256e-09,20.0
203.0,61103.0,0.1071,2.299181721878052,0.0016782179652123977,3.387057441749301e-09,20.0
204.0,61404.0,0.1074,2.2987446559906006,0.0016967229916907574,3.490409295615399e-09,20.0
205.0,61705.0,0.1078,2.2976177101135256,0.002351603404081124,3.568663096215444e-09,20.0
206.0,62006.0,0.1098,2.2975291927337644,0.0018553556974797083,3.5396188868738616e-09,20.0
207.0,62307.0,0.1105,2.296141929244995,0.002040111143748224,3.822619736376599e-09,20.0
208.0,62608.0,0.1115,2.2945317016601563,0.0018777185116916554,3.783686889176149e-09,20.0
209.0,62909.0,0.1113,2.2943916316986086,0.0018711258967303,3.644729221117988e-09,20.0
210.0,63210.0,0.1128,2.2933743587493898,0.0018718368774775453,3.737436083593898e-09,20.0
211.0,63511.0,0.1135,2.291909005737305,0.0019488210538440038,3.7219590312741537e-09,20.0
212.0,63812.0,0.1135,2.292458100891113,0.0020385685954896738,3.562163827401255e-09,20.0
213.0,64113.0,0.1143,2.2907990203857422,0.00186132670059691,3.802605608233917e-09,20.0
